ID	IRI	LABEL
http://www.w3.org/ns/org#Organization	http://www.w3.org/ns/org#Organization	Organization
http://www.w3.org/ns/org#OrganizationalUnit	http://www.w3.org/ns/org#OrganizationalUnit	
http://www.w3.org/ns/org#hasMember	http://www.w3.org/ns/org#hasMember	
https://example.com/resource/AnalyticsApp	https://example.com/resource/AnalyticsApp	Analytics Application
https://example.com/resource/AnalyticsModule1	https://example.com/resource/AnalyticsModule1	Analytics Data Collector
https://example.com/resource/AnalyticsModule2	https://example.com/resource/AnalyticsModule2	Analytics Dashboard
https://example.com/resource/AppServer1	https://example.com/resource/AppServer1	Application Server 1
https://example.com/resource/AppServer1Interface1	https://example.com/resource/AppServer1Interface1	AppServer1 Interface 1
https://example.com/resource/AppServer1Interface2	https://example.com/resource/AppServer1Interface2	AppServer1 Interface 2
https://example.com/resource/AppSystemToResourceLink	https://example.com/resource/AppSystemToResourceLink	Application System to Resource Link
https://example.com/resource/AppToResourceLink	https://example.com/resource/AppToResourceLink	Application to Resources
https://example.com/resource/CoreSwitch	https://example.com/resource/CoreSwitch	Core Switch
https://example.com/resource/CoreSwitchInterface1	https://example.com/resource/CoreSwitchInterface1	CoreSwitch Interface 1
https://example.com/resource/CoreSwitchToApp1Link	https://example.com/resource/CoreSwitchToApp1Link	CoreSwitch to AppServer1 Link
https://example.com/resource/CustomerPortal	https://example.com/resource/CustomerPortal	Customer Portal Application
https://example.com/resource/CustomerPortalModule1	https://example.com/resource/CustomerPortalModule1	Customer Portal Frontend
https://example.com/resource/CustomerPortalModule2	https://example.com/resource/CustomerPortalModule2	Customer Portal Backend
https://example.com/resource/ITDepartment	https://example.com/resource/ITDepartment	IT Department
https://example.com/resource/Link_Core_App1	https://example.com/resource/Link_Core_App1	Link CoreSwitch to AppServer1
https://example.com/resource/OrderManagement	https://example.com/resource/OrderManagement	Order Management System
https://example.com/resource/OrgToSupportLink	https://example.com/resource/OrgToSupportLink	Organization to Support Team
https://example.com/resource/Resource1	https://example.com/resource/Resource1	Database Server
https://example.com/resource/Resource2	https://example.com/resource/Resource2	Web Server Cluster
https://example.com/resource/ResourceLink1	https://example.com/resource/ResourceLink1	Link between Database and Web Servers
https://example.com/resource/SupportTeam	https://example.com/resource/SupportTeam	Support Team
https://w3id.org/noria/ontology/Application	https://w3id.org/noria/ontology/Application	
https://w3id.org/noria/ontology/ApplicationModule	https://w3id.org/noria/ontology/ApplicationModule	
https://w3id.org/noria/ontology/NetworkInterface	https://w3id.org/noria/ontology/NetworkInterface	
https://w3id.org/noria/ontology/NetworkLink	https://w3id.org/noria/ontology/NetworkLink	
https://w3id.org/noria/ontology/Resource	https://w3id.org/noria/ontology/Resource	
