##################################################
Knowledge Graph : /home/piod7321/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/2025-09-16/vertex_ai/gemini-2.5-flash/First_prompt_2025-09-16_13-59-12_Noria.ttl
Number of Nodes : 57
Number of edges : 81
cumulative number of nodes : 57
degree_histogram : [0, 30, 2, 9, 3, 6, 1, 1, 1, 3, 0, 1]
number of self loop : 0
####  KPIs ####
DiGraph density : 0.02537593984962406
Average degree connectivity : {3: 1.3333333333333333, 1: 0.0, 7: 3.0, 5: 3.1, 9: 2.962962962962963, 6: 3.3333333333333335, 11: 2.1818181818181817, 8: 0.5, 4: 3.0833333333333335, 2: 0.25}
#### Subject, Object, predicate ####
OP_RouterUpgrade,PostCond_ServiceRestored,{'label': 'operationPlanPostCondition', 'color': 'white'}
OP_RouterUpgrade,PreCond_BackupComplete,{'label': 'operationPlanPreCondition', 'color': 'white'}
CR_20231115_001,StandardChangeType,{'label': 'changeRequestType', 'color': 'white'}
CR_20231115_001,JohnDoe,{'label': 'changeRequestInitiatorParty', 'color': 'white'}
CR_20231115_001,PreventativeMaintenanceCategory,{'label': 'changeRequestCategory', 'color': 'white'}
CR_20231115_001,ScheduledStatus,{'label': 'changeRequestStatusCurrent', 'color': 'white'}
CR_20231115_001,CoreRouter02,{'label': 'changeRequestImpact', 'color': 'white'}
CR_20231115_001,OP_RouterUpgrade,{'label': 'actionCorrelatedOperationPlan', 'color': 'white'}
CR_20231115_001,SoftwareUpgradeCause,{'label': 'changeRequestChangeCause', 'color': 'white'}
CiscoASR9K,CiscoSystems,{'label': 'productManufacturedBy', 'color': 'white'}
CustomerPortalAppModule,InProductionStatus,{'label': 'applicationModuleStatus', 'color': 'white'}
CustomerPortalAppModule,AppSupportTeam,{'label': 'applicationModuleSupportTeam', 'color': 'white'}
CustomerPortalAppModule,CustomerPortalApp,{'label': 'applicationModuleOf', 'color': 'white'}
CustomerPortalAppModule,JaneSmith,{'label': 'applicationModuleAdministrationLeader', 'color': 'white'}
WebServer01,RackA1,{'label': 'locatedAtLocus', 'color': 'white'}
WebServer01,IP_192_168_1_10,{'label': 'resourceManagementIPAddress', 'color': 'white'}
WebServer01,OperationalState,{'label': 'resourceUsageState', 'color': 'white'}
WebServer01,AppSupportTeam,{'label': 'resourceManagedBy', 'color': 'white'}
WebServer01,ServerType,{'label': 'resourceType', 'color': 'white'}
WebServer01,CustomerPortalApp,{'label': 'resourceForApplication', 'color': 'white'}
WebServer01,HPProLiantDL380,{'label': 'resourceProductModel', 'color': 'white'}
RackA1,WebServer01,{'label': 'bot#hasElement', 'color': 'white'}
RackA1,CoreRouter01,{'label': 'bot#hasElement', 'color': 'white'}
WS01_Eth0,VirtualInterfaceType,{'label': 'networkInterfaceType', 'color': 'white'}
WS01_Eth0,UpState,{'label': 'networkInterfaceOperationalStatus', 'color': 'white'}
WS01_Eth0,WebServer01,{'label': 'networkInterfaceOf', 'color': 'white'}
TT_20231026_001,FailureType,{'label': 'troubleTicketType', 'color': 'white'}
