##################################################
#### Common information for Graph and DiGraph ####
Knowledge Graph : merged_graph_8.ttl
Number of Nodes : 197
Number of edges : 233
cumulative number of nodes : 197
degree_histogram : []
number of self loop : 0
#### Graph KPIs ####
Graph density : 0
#### DiGrap KPIs ####
DiGraph density : 0.012068786905625194
Average degree connectivity : {}
#### Subject, Object, predicate ####
https://example.com/HubNode2,https://example.com/EdgeSupport,{'label': 'https://w3id.org/noria/ontology/elementManagedBy', 'size': 80, 'color': 'white'}
https://example.com/HubNode2,https://example.com/organization1,{'label': 'https://w3id.org/noria/ontology/elementManagedBy', 'size': 80, 'color': 'white'}
https://example.com/superNode2,https://example.com/observable9,{'label': 'https://w3id.org/noria/ontology/structuralElementObservable', 'size': 80, 'color': 'white'}
https://example.com/superNode2,https://example.com/observable/superNodeStatus,{'label': 'https://w3id.org/noria/ontology/structuralElementObservable', 'size': 80, 'color': 'white'}
https://example.com/superNode2,https://example.com/ManagementBoard,{'label': 'https://w3id.org/noria/ontology/elementManagedBy', 'size': 80, 'color': 'white'}
https://example.com/superNode2,https://example.com/organization1,{'label': 'https://w3id.org/noria/ontology/elementManagedBy', 'size': 80, 'color': 'white'}
https://example.com/CentralNode3,https://example.com/MultiplexNode6,{'label': 'https://w3id.org/noria/ontology/connected_to', 'size': 80, 'color': 'white'}
https://example.com/CentralNode3,https://example.com/TrafficLoad,{'label': 'https://w3id.org/noria/ontology/structuralElementObservable', 'size': 80, 'color': 'white'}
https://example.com/CentralNode3,https://example.com/HubNode1,{'label': 'https://w3id.org/noria/ontology/connected_to', 'size': 80, 'color': 'white'}
https://example.com/CentralNode3,https://example.com/organization1,{'label': 'https://w3id.org/noria/ontology/elementManagedBy', 'size': 80, 'color': 'white'}
https://example.com/CentralNode3,https://example.com/NetworkOpsTeam,{'label': 'https://w3id.org/noria/ontology/elementManagedBy', 'size': 80, 'color': 'white'}
https://example.com/CentralNode3,https://example.com/AuthTeam,{'label': 'https://w3id.org/noria/ontology/elementManagedBy', 'size': 80, 'color': 'white'}
https://example.com/MultiplexNode6,https://example.com/NetworkEngineering,{'label': 'https://w3id.org/noria/ontology/elementManagedBy', 'size': 80, 'color': 'white'}
https://example.com/MultiplexNode6,https://example.com/StreamBandwidth,{'label': 'https://w3id.org/noria/ontology/structuralElementObservableData', 'size': 80, 'color': 'white'}
https://example.com/MultiplexNode6,https://example.com/FirewallNode8,{'label': 'https://w3id.org/noria/ontology/connected_to', 'size': 80, 'color': 'white'}
https://example.com/Event1,https://example.com/AlarmCritical,{'label': 'https://w3id.org/noria/ontology/alarmSeverity', 'size': 80, 'color': 'white'}
https://example.com/Event1,http://www.w3.org/ns/seas#Warning,{'label': 'https://w3id.org/noria/ontology/alarmSeverity', 'size': 80, 'color': 'white'}
https://example.com/Event1,https://example.com/Resource1,{'label': 'https://w3id.org/noria/ontology/logOriginatingManagedObject', 'size': 80, 'color': 'white'}
https://example.com/Event1,https://example.com/NetworkEngineer2,{'label': 'https://w3id.org/noria/ontology/logOriginatingAgent', 'size': 80, 'color': 'white'}
https://example.com/Event1,https://example.com/NMS1,{'label': 'https://w3id.org/noria/ontology/logOriginatingManagementSystem', 'size': 80, 'color': 'white'}
https://example.com/Event1,https://example.com/NetworkEngineer1,{'label': 'https://w3id.org/noria/ontology/logOriginatingAgent', 'size': 80, 'color': 'white'}
https://example.com/Event1,https://example.com/NetworkLink1,{'label': 'https://w3id.org/noria/ontology/logOriginatingManagedObject', 'size': 80, 'color': 'white'}
https://example.com/Event1,https://example.com/LinkDC-Router,{'label': 'https://w3id.org/noria/ontology/logOriginatingManagedObject', 'size': 80, 'color': 'white'}
https://example.com/AlarmCritical,http://example.com/scheme/severity,{'label': 'http://www.w3.org/2004/02/skos/core#inScheme', 'size': 80, 'color': 'white'}
https://example.com/Hub1,https://example.com/OrgOrange,{'label': 'https://w3id.org/noria/ontology/elementManagedBy', 'size': 80, 'color': 'white'}
https://example.com/OrgOrange,https://example.com/RouterCore,{'label': 'https://w3id.org/noria/ontology/elementManagedBy', 'size': 80, 'color': 'white'}
https://example.com/OrgOrange,https://example.com/Firewall1,{'label': 'https://w3id.org/noria/ontology/elementManagedBy', 'size': 80, 'color': 'white'}
https://example.com/OrgOrange,https://example.com/DataCenter1,{'label': 'https://w3id.org/noria/ontology/elementManagedBy', 'size': 80, 'color': 'white'}
https://example.com/OrgOrange,https://example.com/Resource1,{'label': 'https://w3id.org/noria/ontology/resourceManagedBy', 'size': 80, 'color': 'white'}
https://example.com/OrgOrange,https://example.com/ServerStorage,{'label': 'https://w3id.org/noria/ontology/resourceManagedBy', 'size': 80, 'color': 'white'}
https://example.com/OrgOrange,https://example.com/VM1,{'label': 'https://w3id.org/noria/ontology/elementManagedBy', 'size': 80, 'color': 'white'}
https://example.com/Service3,http://w3id.org/noria/kos/service/type/ResourceFacingService,{'label': 'https://w3id.org/noria/ontology/serviceType', 'size': 80, 'color': 'white'}
http://w3id.org/noria/kos/service/type/ResourceFacingService,https://example.com/Service1,{'label': 'https://w3id.org/noria/ontology/serviceType', 'size': 80, 'color': 'white'}
http://w3id.org/noria/kos/service/type/ResourceFacingService,https://example.com/Service2,{'label': 'https://w3id.org/noria/ontology/serviceType', 'size': 80, 'color': 'white'}
https://example.com/superNode7,https://example.com/DataCenterOps,{'label': 'https://w3id.org/noria/ontology/elementManagedBy', 'size': 80, 'color': 'white'}
https://example.com/superNode7,https://example.com/powerConsumption,{'label': 'https://w3id.org/noria/ontology/structuralElementObservableData', 'size': 80, 'color': 'white'}
https://example.com/superNode7,https://example.com/ManagementTeam,{'label': 'https://w3id.org/noria/ontology/elementManagedBy', 'size': 80, 'color': 'white'}
https://example.com/DataCenterOps,https://example.com/DataCenter,{'label': 'https://w3id.org/noria/ontology/elementManagedBy', 'size': 80, 'color': 'white'}
https://example.com/DataCenterOps,https://example.com/CentralNode,{'label': 'https://w3id.org/noria/ontology/elementManagedBy', 'size': 80, 'color': 'white'}
https://example.com/NetworkEngineering,https://example.com/MultiplexNode,{'label': 'https://w3id.org/noria/ontology/elementManagedBy', 'size': 80, 'color': 'white'}
https://example.com/RouterCore,https://example.com/ObservableRouterStatus,{'label': 'https://w3id.org/noria/ontology/structuralElementObservable', 'size': 80, 'color': 'white'}
https://example.com/RouterCore,https://example.com/LinkDC-Router,{'label': 'https://w3id.org/noria/ontology/networkLinkTerminationResourceDestination', 'size': 80, 'color': 'white'}
https://example.com/RouterCore,https://example.com/Interface1,{'label': 'https://w3id.org/noria/ontology/networkInterfaceOf', 'size': 80, 'color': 'white'}
https://example.com/centralNode3,https://example.com/AuthTeam,{'label': 'https://w3id.org/noria/ontology/elementManagedBy', 'size': 80, 'color': 'white'}
https://example.com/centralNode3,https://example.com/ITSupport,{'label': 'https://w3id.org/noria/ontology/resourceManagedBy', 'size': 80, 'color': 'white'}
https://example.com/centralNode3,https://example.com/Room314,{'label': 'https://w3id.org/noria/ontology/locatedAtLocus', 'size': 80, 'color': 'white'}
https://example.com/AuthTeam,https://example.com/CentralNode,{'label': 'https://w3id.org/noria/ontology/elementManagedBy', 'size': 80, 'color': 'white'}
https://example.com/multiplexNode6,https://example.com/ITSupport,{'label': 'https://w3id.org/noria/ontology/resourceManagedBy', 'size': 80, 'color': 'white'}
