##################################################
Knowledge Graph : /home/pdooze/DIGITAL_TWIN/gengraphllm/results/synthetics_graphs/S4_fully_created_by_AI/2025-10-21/vertex_ai/gemini-2.5-flash/4_prompt_fully_created_by_AI_2025-10-21_10-33-12_Noria.ttl
Number of Nodes : 145
Number of edges : 304
cumulative number of nodes : 145
degree_histogram : [0, 49, 24, 18, 7, 8, 11, 6, 3, 1, 2, 4, 3, 2, 3, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1]
number of self loop : 0
####  KPIs ####
DiGraph density : 0.014559386973180077
cumulative density : 0.014559386973180077
Average degree connectivity : {5: 7.175, 1: 0.12244897959183673, 6: 5.712121212121212, 2: 1.2291666666666667, 8: 5.791666666666667, 7: 6.619047619047619, 20: 2.4, 9: 4.555555555555555, 16: 0.125, 12: 4.194444444444445, 18: 4.833333333333333, 11: 3.272727272727273, 3: 2.962962962962963, 14: 2.738095238095238, 4: 2.4285714285714284, 26: 5.230769230769231, 10: 6.8, 13: 2.3461538461538463}
#### Subject, Object, predicate ####
Resource009,10.0.0.25,{'label': 'resourceManagementIPAddress', 'color': 'white'}
Resource009,Agent001,{'label': 'resourceManagedBy', 'color': 'white'}
Resource009,Server,{'label': 'resourceType', 'color': 'white'}
Resource009,InProduction,{'label': 'resourceUsageState', 'color': 'white'}
Room001,Locus004,{'label': 'bot#hasSpace', 'color': 'white'}
Room001,Locus002,{'label': 'bot#hasSpace', 'color': 'white'}
Room001,Locus001,{'label': 'bot#hasSpace', 'color': 'white'}
Room001,bot#Site001,{'label': 'subSystemOf', 'color': 'white'}
Room001,Locus003,{'label': 'bot#hasSpace', 'color': 'white'}
Room001,Locus005,{'label': 'bot#hasSpace', 'color': 'white'}
ApplicationModule004,org#OrganizationalUnit001,{'label': 'applicationModuleAdministrationTeam', 'color': 'white'}
ApplicationModule004,Resource007,{'label': 'resourceForApplication', 'color': 'white'}
ApplicationModule004,Silver,{'label': 'applicationModuleSlaLevel', 'color': 'white'}
ApplicationModule004,InProduction,{'label': 'applicationModuleStatus', 'color': 'white'}
ApplicationModule004,Agent002,{'label': 'applicationModuleSupportTeam', 'color': 'white'}
ApplicationModule004,Application002,{'label': 'applicationModuleOf', 'color': 'white'}
